Father_node,Child_node,语义关系,发言类型(Child_node)
56   爸爸 月 号 走 感谢 朋友 巨块 型 术后 月 肝内 多发,"第一件 事 抗病毒 条件 上替 诺福韦 不敢相信 301 做 手术 没叫 抗病毒 
 正 作用 亿倍 大于 副作用 
 条件 肝移植 超标准 权衡",0,1
ROS1 突变 用克唑 替尼 查全 指导 用药 不查 盲试,免疫组化 假 阴性 基因 检测 准 准确 ALK 阴性 试用 ALK 靶点 药 机会 身体 条件 多余 切片 检测 试试 ROS1 机会 意见 权衡,1,2
克药 正确 选择 西 脑部 控制 不好 克药 met 靶点 有效率 更高,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
标本兼治   疼痛 放疗 效果 理想   先 止痛     奥施 康定   +- 西乐 葆   +- 卡马西平     放疗 骨髓 抑制 重   父亲 未必 承受       化疗 可用 吉西 他宾 铂 类   培美曲 塞     靶向 药物 尝试     带齐 资料 咨询 三甲 医院 肿瘤科,观点 靶点 耐药 cmet 扩增 E 野生 met 扩增 所致 文献 观点,2,2
04   母亲 肺 腺癌 21 突变 两年 抗癌 结束 愿 天堂 病痛,服用 4002 CEA 影像 背离 情况 我家 4002 联用 易特 期间 CEA 持续 上涨 影像 好转 全身 找 不到 新 转移 灶 建议 吃 4002 期间 定期 影像 检查 身体 感 CEA 参考,0,1
34   急 求助 憨豆 老马 平安 阿梁 高手 老伴 凯美纳 耐药 一步 治疗 方案,4002 2992 4002 300mg 分 次 150mg 吃掉 那放得 久 2992 2992 装 量 2992 放 时间 长 2992 无效 影响 大局 2992 高血压 副作用 吃 降压药,0,1
4002 2992 4002 300mg 分 次 150mg 吃掉 那放得 久 2992 2992 装 量 2992 放 时间 长 2992 无效 影响 大局 2992 高血压 副作用 吃 降压药,楼主 你好 2992 副作用 慢慢 药物 浓度 慢慢 积累 阶段 发生 腹泻 早上 拜读 老马 帖子 对付 腹泻 思密达 防治 长久 法 附院 ICU 实习 见过 老师 用川椒 打成 粉拌 醋 外敷 神阙穴 位 效果 不错 尝试,3,3
建议 先试     特罗 凯 入脑     20 天查 CEA,年青人 病 试试 特吧 老公 做 检测 主治医生 说 做 做,1,2
免疫组化 不贵 基因 检测 便宜,贵 北京 肿瘤医院 检测 总共 500 元,1,2
"  
 肢体 麻 脑 转移 导致 问下 医生 脑 转移 程度 放疗 
 描述 太 导致 瘫痪","  
 恩 医生 说 办法 脑部 全放 说 片子 放 所说 副作用 医生 说 回家 家人 商量 家里 想 打上 骨 转针 吃 一个月 特罗 凯后 做 CT 检查 再往",1,2
爸爸 15 年 月 体检   长沙 湘雅 三院 检查 出肺 腺癌   状况   我该,手术 风险 不先取 病理,0,1
进展 压制 经济 条件 紫杉醇 希罗 达 赫赛 汀 医生 同意 用赫赛 汀 HER2 2992 赫赛 汀,这样的话 化疗 2992 50mg YL 一个月 拍 CT 肝脏 控制 局部 治疗,1,2
基因 检测 突变 靶向 治疗,治病 七分 医生 三分 靶向 靶向 化疗 副作用 很大,1,2
试一下 甘草片 舌下 含化,唑 膦 酸 立竿见影 副作用 骨转 后期 89 锶 XL184   卡博替 尼,1,2
33   妈妈 肺 腺癌 晚期 开帖 妈妈 携手 并进,恭喜 19 突变 ect 为啥 做 骨转 做骨 转 治疗,0,1
蛋白 太低 25 危险 建议 住院 补充 蛋白,胸水 放些 白蛋白 低 补充 我家 白蛋白 上到 34,1,2
54   不幸 之中 大幸 找到 组织 找到 9291,"家 NS E化 验单 32 nse 指标 变化 并不一定 转化成 细胞 癌 家 化验 之内 波动 
 9291 个体 用量 调整 关键 找到 合适 剂量 耐受 副作用 家 单用 60mg 80mg 效果 联合 易瑞沙 效果 不错 
 肿瘤 异质性 部位 肿瘤 突变 部位 肿瘤 突变 帖子 PI3K 突变 9291 联合 用药 联合 BKM120 两个 入脑 效果 9291 对骨转 效果 不好 条件 查 CMET 扩增",0,1
21 突变 易特 无效 加克 280 试试 我家 帖子 情况,观察 21 突变 原发 耐药 概率 19 高 egfr 基因 检测 报告 T790m 突变 cmet 扩增 易特 联克唑 替尼 280,1,2
"血压高 停 降压药 疼痛 停 止痛药 说 减掉 无关 药 胸腺肽 康艾 停掉 药 
 言语 嗜好 癖 话 太 简明扼要 地说 病情 提 就行了",谢谢您 父亲 月 日 做 消融 好多 痛 谢谢您,3,3
进展 压制 经济 条件 紫杉醇 希罗 达 赫赛 汀 医生 同意 用赫赛 汀 HER2 2992 赫赛 汀,介入 完 试诺 雷德 依西美坦 依维莫斯 2992,1,2
"我妈 激素 受体 阴性 her2   fish   +++ 理解 单用 2992     肿瘤 指标 耐药 单药 力量 
 阿西 借用 海猫 姐姐 说 易 反弹 副作用 轻易 尝试 
 乳腺癌 转移 标准 用药 希罗 达 拉帕 替尼 试试 换成 2992 我妈 希罗 达 赫赛 汀 sd 一个月 可惜 听 医生 误导 换药 F 医生 
 写 帖子 我妈 催 睡觉 晓得 享受 待遇 多久",多谢 sharonalen 希罗 达 2992 方案 药物 太 妈妈 身体 脏器 药物 反复 伤害 已然 经不起 折腾 想 尝试 寻找 和缓 方案,2,2
做 基因 想 试试 特,肺部 感染 确实 当成 肿瘤 优先 我家 感染 导致 病情 急转直下 病危 抗感染 咳嗽 痰 消失 疼痛 减轻,1,2
49   父亲 确诊 肺 鳞癌 化疗 中 方案 请 指点 谢谢,吃 特时 吃 辅酶 Q10 水飞 蓟滨 保护 心脏 肝脏,0,1
找 一家 修脚 店子 不用 拔甲 修掉 嵌入 肉里 指甲 两边 妈妈 说 有点痛 回到 家后 不痛,预防 甲沟炎 修剪 指甲 不让 长进 肉里 红肿 用温 水泡 软 忍痛 修剪 脓 挤 净 抹 百多 帮 修剪 关键 痛 及时处理 找 修脚 师傅 拔甲 麻药,1,2
cMET 扩增 查 扩增,唑 膦 酸 立竿见影 副作用 骨转 后期 89 锶 XL184   卡博替 尼,1,2
90   特 10 月 耐 培美 无效 多西 多发 脑转 女 34 肺腺 求 论坛 前辈,先 试一下 4002 9291 留着,0,1
突变 先 化疗 四个 疗程     空窗   进展 靶向,同意 妈妈 21 突变 化疗 效果 不错 化疗 耐受 靶向 药 不用 犹豫,1,2
化疗药 有没有 用过 阿瓦斯 汀 药 用过 一段时间 不好 手术 伤口 张好 机会 手术 确实 羡慕 咨询 几个 医生 建议 做 基因 检测 化疗 伤害 太 靶向,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
试一下 特罗 凯 很快,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
想换 9291 184,cmet 可用 280 184 副作用,2,2
医院,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
脑转 症状 脑膜 转 不好 搞 脑膜 好像 做 鞘 注射,培美 耐药 优选 培美 联合 小剂量 凡德 两个 疗程 效果 停凡德 单药 两个 疗程 效果 不好 凡德用 2992 降低 790 细胞 ts 表达 增敏 培美 试试,1,2
  肺腺 18 号 G719X 20 号 S768I 27 月 陪美 化疗 2992 9291 多西 北伐 特 9291,低 敏感度 EGFR 基因突变 建议 采用 特罗 凯 有效性 时间 稍微 祝你好运,0,1
18   妈妈 肺 腺癌 年 手术 化疗 放疗 易瑞沙 阿法 替尼 +...,试试 放化疗 同步 做 放疗 有效率 40% 放化疗 同步 有效率 70% 80%,0,1
靶向 药 副作用 化疗,同意 妈妈 21 突变 化疗 效果 不错 化疗 耐受 靶向 药 不用 犹豫,1,2
46   术后 四年   易瑞沙 换药 求助 咨询,"2992 受潮 影响 疗效 放心 
 易特 耐药 阿法 替尼 台湾 阿法 替尼 说明书 注明 50 毫克 合计 YL 75 毫克 服用 时间 饭前 小时 饭后 小时 用量 75 毫克 正确 建议 服用 一个月 复查",0,1
手术 风险 不先取 病理,手术 手术 身体 肺叶 切除 全肺 切除 双肺 转移 手术,1,2
憨叔 有幸 肝癌 年 复发 大面积 弥散 门脉 癌栓 吐血 腹水,控制 乙肝病毒 DNA 降到 次方 之下 隔天 轮流 输人血 白蛋白 血液,0,1
消毒 撒 云南白药 粉,云南白药 粉撒到 患处 管用 新 指甲 长 试试,1,2
用过 方案 无效 真的 少见 楼 试一下 2992 阿西,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
骨 转要 打骨 转针 唑 膦 酸 你家 原发灶,楼主 年轻 听 草船 兄 先 试吃 特罗 凯先 特 买 印度 一点 贵 吃 印度 放心 药 再学 特和易 盲试 首选 脑转 草船 建议 先 试特 犹豫,1,2
04   母亲 肺 腺癌 21 突变 两年 抗癌 结束 愿 天堂 病痛,家 4002 联用 特 月,0,1
大夫 说易 入脑 想着 易 效果 改吃特 行不行,塞来 昔布 200MG 参考 深蓝 帖子 局部 止痛,3,3
B12 培美曲塞加 铂 类 方案,顺铂 利尿 针 多放些 水 身边 喝水 3.5,3,3
29   妈妈 治疗 用药 记录 儿子 别怕 并肩作战 抗癌 一周年,"特 联合 4002 无效 9291 奇怪 
 1.9291 有效率 更高 
 2.4002 药量 药 来源 
 3.4002 心脏 毒性 导致 
 祝福",0,1
我家 胸水 化疗 两次 第三次 化疗 阿西 停 胸水 方案 培美加 铂,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
90   特 10 月 耐 培美 无效 多西 多发 脑转 女 34 肺腺 求 论坛 前辈,多西 联合 化疗 就化 疗程 西单 药 进展 换 三代 靶向,0,1
"请 补充 病人 年纪 抽烟 史 
 egfr 突变 一线 上易瑞沙",易瑞沙 亚洲 部 吸烟 女性 腺癌 有效率 高 父亲 抽烟 易瑞沙 有效率 低 特罗 凯 EGFR 靶点 先,2,2
"肯定 发生 感染 检查 C   蛋白 高 建议 特罗 凯暂 不吃 抗感染 治疗 C 蛋白 接受 吃 特罗 凯 
 拘谨 基因突变 突变 靶向 药",药 C 蛋白 降下来 就行 这是 近期 治疗 目标 血压 降到 160 100 近期 目标 几天 两个 目标 吃 特罗 凯,1,2
试下 头孢 粘 一点点 水涂 第二天,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
骨 转针 化疗 隔开 就行 铂 隔开 肾 负担,有骨转 打骨 转针  ,0,0
暂时 化疗 化疗 伤 敌 一千 自损 八百 大招,鳞癌 3A 手术 化疗,2,0
医生 建议 姑息 性 放疗   单肺   主动脉   真不知道 医生 怎莫想 放疗,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
脑转 肝转 试 阿西 中 家父 过世 此贴 终结,建议 楼主 盲试 靶向 药前 抽血 做 检测 完 一个月 做 检测 清晰,0,1
谢谢您 回复 翟博 找 轻松 地说 做 说 做 两次 第一次 四个 第二次 次大 做 听 蒙 真 可行 问 专家 做 四个 很难 个个 很大 人能 承受 有待 评估,效果 一两年 稳定 定期检查 就行了,3,3
吃 靶向 药 副作用 肝功能 酶 指标 我家 治疗 酶 指标 下降 方法     阿拓 莫兰 还原型 谷胱甘肽 片     天晴 甘平,一步 建议 建议 阿西 替尼 毫克 X2 次 天,1,2
全 野生型 试 特罗 凯 希望 祝 好运,感觉 你家 药换 频繁 心急 原因 吃 时间 判定 无效 有时候 吃 几天 原因 导致 吃 几天 状态 不好 导致 药 无效,1,2
97   肺癌 脑 转移 印度 易瑞沙 10 月,换 特罗 凯 易瑞沙 间隔 月 做 基因 检测 适合 靶向 药物 T790M 突变 2992 2992 联合 半颗 特罗 凯 特罗 凯 联合 4002 CMET 突变 特罗 凯 联合 184,0,1
看过 论坛 里 帖子 说 靶向 药 免疫组化 觉得很有 道理 父亲 基因 检测 突变 易瑞沙 2992,妈妈 基因 突变 多西 他赛 铂   化疗 两次 失败 cea 暴涨     445             第二次 化疗 一周 吃 印易瑞沙 期间 加服     蓝蝎 肽       一年 易 中 天天 逗 外孙,1,2
憨叔 有幸 肝癌 年 复发 大面积 弥散 门脉 癌栓 吐血 腹水,肝脏 一步 很难 逆转 形势 出血 将会 频繁 发生 大出血 危险 条件 肝移植 这是 唯一 出路,0,1
34   急 求助 憨豆 老马 平安 阿梁 高手 老伴 凯美纳 耐药 一步 治疗 方案,阿姨 祈祷 你家 2992 叔叔 高血压 级 贸然 尝试 阿西 184 药 强大 副作用 肿瘤 厉害 致命,0,1
谢谢 感恩,做 基因 检测 论坛 野生型 用特 例子 试药 抓紧 试 没效 没什么,2,2
骨转 先 打着 骨 转针 关注 ODN,ODN 口服 骨 转药   关注   打针 后续 方案,3,3
肿瘤 门诊 开 便宜 化疗药 不化 回家 化疗 手续 不齐,测 免疫 化组 ALK C MET HER VEGF EGFR ALK C MET 号 用克唑 替尼 XL184,3,2
18   妈妈 肺 腺癌 年 手术 化疗 放疗 易瑞沙 阿法 替尼 +...,联合 用药 副作用 尝试 说 办法 联合,0,1
说 耐药 检测 T790M 基因 检测 方法 区别 很大 准确率 先 检测 方法 最新 可靠 基因 检测 方法 可信 假 阴性,奇效,3,3
放疗 效果 来得,身体 许可 选择 化疗 放疗 靶向 感觉 对骨转 控制 较难,1,2
25   求助 帖   老公 肺 腺癌 晚期 疼痛 厉害 易瑞沙 耐药 求 论坛 高 指点 万分 感谢,"新人 发表 观点 抗肿瘤 止痛 
 疼痛 不好 只能 吃 止痛药 靶向 天应 增加 疼痛 疼痛 建议 奥施 康定 芬太尼 推荐 贴后 约 24 小时 见效 我妈 持续 服用 奥施 康定 两次",0,1
野生 试试 特,暂时 换特 比易 药效 强 倍,1,2
建议 条件 做 病理 检查 观测 T790 阳性,理论 9291 清理 掉 T790 新 突变 会特 易,3,2
11   新手 爸爸 肠 梗塞 手术 发现 结肠癌 求 指引 治疗,做 完 手术 建议 检测 肿瘤 指标 再作 检查 重视 术后 宜用 保康 速 速愈素 乳 铁蛋白 辅助 恢复 体能 肿瘤 病人 不宜 中医中药 进补,0,1
手机 打不出 汉字 说 止痛 羟考 酮 止不住 加 吗啡,观点 靶点 耐药 cmet 扩增 E 野生 met 扩增 所致 文献 观点,2,2
ROS1 突变 用克唑 替尼 查全 指导 用药 不查 盲试,测下 ros1 基因 ALK 阴性 ros1 希望 挺大,1,2
求助 请问 特罗 凯 副反应 短暂 停药 特罗 凯已 服用 20 周 谢谢,换易瑞沙,0,1
我妈 脑膜 转   是从 9291 联特 打算 单药 9291   希望 长期有效  ,唑 膦 酸 立竿见影 副作用 骨转 后期 89 锶 XL184   卡博替 尼,1,2
"两个 药店 有售 南京 南京 药店 买 
 淘宝 买 美国 GNC 辅酶 q10 蓝瓶护 肝 奶 蓟 我家 效果 不错 
 爸爸 化疗 身体 虚 买 蛋白质 粉 吃 吃 买 安利 买 GNC 买安素",效果 一两年 稳定 定期检查 就行了,3,3
骨 转 盲试 特罗 凯与 184 联用,暂时 换特 比易 药效 强 倍,1,2
腹泻 次 加量 70mg,量 太大 拉多 消瘦,1,2
基因 检测 突变 靶向 治疗,21 突变 靶向 靶向 耐药 化疗 吃 回 靶向,1,2
先 小剂量 白介素 100 万 单位 香菇 多糖 试试 增强 免疫 控制 原发 肿瘤 白介素 香菇 多糖 辅助 治疗 慢阻 肺 治 癌 起码 改善 慢阻 肺 副作用 轻微,手术 化疗 放疗 遭太多罪,1,2
靶向 药 医生 说 先 化疗 告诉 原因 做 疗程 培美曲 塞 和顺 铂 几天 疗程,病理 有没有 突变 情况 化疗 没错 条件 病人 沟通 早期 检测 做,1,2
手术 上克,克 有没有 印版,1,2
"克不入 脑 你家 9291 XL184 184 cmet 靶点 换 inc280 
 280 入脑 cmet 抑制 效果 更好 
 脑转 经验 理论 建议",说 9291 4002 加特 myheaven 说 毒副作用 小些 我妈 两天 脸色 发黄 4002 加易 副作用,1,2
手术 手术 负荷 减,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
易瑞沙 耐药,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
妈妈 第一 二次 卡 铂 用顺 铂 卡 铂 骨髓 抑制 影响 较大 顺铂 骨髓 抑制 较卡 铂 但会 恶心 呕吐,第一 二个 疗程 卡 铂 耐受 用顺 铂 顺铂 疗效 更好 止吐 买止 敏吐,3,3
手术 手术 珍惜 手术 机会 错过,"关键 那位 病友 接受 内分泌 治疗 转移 病灶 ER 表达 
 接受 内分泌 治疗 ER 强 阳性 去势 效果",3,3
86   31 岁 老公 查出 肝癌 晚期 挺 大肚子 六神无主,乙肝 表面抗原 阳性 HBVDNA 低于 检测 限 不用 抗病毒 如要 恩替 卡 韦比 拉米夫定 效果,0,1
脑转 肝转 试 阿西 中 家父 过世 此贴 终结,怀疑 脑转 MRI 骨转 骨 扫,0,1
输点 白蛋白,992 打击 Her2 靶点 效果,3,2
吃 一个月 臌症 丸 父亲 感觉 吃 胸闷 减轻 胸水 没少 试试,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
12   易瑞沙 特罗 凯 2992 4002 299804 易 120 特 4002 ..... 现 2921 单药 中 ....,骨转 先 打着 骨 转针 关注 ODN,0,1
14   39 岁 肺 粘液腺癌 ALK 阳性 空窗 转克唑 替尼,"医生 敷衍 肯定 淋巴结 肺 纵隔 正常人 淋巴结 手术 做 淋巴结 清扫 炎症性 恶性 纵隔 淋巴结 切掉 术后 纵隔 处 淋巴结 影 化疗 中 纵隔 淋巴结 两种 一种 炎症 导致 一种 复发 正常人 
 判断 炎症 导致 做法 
   一个月 抗炎 纵隔 淋巴结 缩小 消退 判断 术后 炎症 只能 偏 负性 角度 淋巴结 转移 灶 
   缺钱 PET CT 判断 快速 准确 炎症性 纵隔 淋巴结 恶性 淋巴结 通用 界限 SUVmax     2.5   纵隔 淋巴结 葡萄糖 摄取量 导致 SUV 远大于 医生 认可 淋巴结 转移 灶 建议 做 术后 纵隔 放疗 
   做 支气管镜 取样 活检 准确 支气管镜 病人 痛苦 患者 害怕 复发 好消息 医生 建议 方法 
 
 角度 说 做 术后 化疗 博 根治 推迟 复发 时间 根治 II 期 患者 很小 概率 事件 化疗 期间 依然 纵隔 淋巴 影 赌 化疗 根治 概率 再化 只会 导致 人体 免疫力 难以 恢复 转为 靶向 姑息 治疗 博取 长时间 生存 更有意义",0,1
CEA 高 病情 进展 存 幻想 换药,希望 ct 稳定 cea 翻 好几倍 佩服 楼主 淡定 建议 及早 做出 换药 瞒 大夫 赠药 领 群里 干,1,2
有骨转 CMET 扩增 联合 CMET 药 INC280 XL184 克唑 替尼,291 先加量 100 下步 联易,1,2
90   特 10 月 耐 培美 无效 多西 多发 脑转 女 34 肺腺 求 论坛 前辈,多吉 美 抑制 肿瘤 血管 生成 周后 试 2992 建议 联合 用药 联合 副作用 单药 单药 联合 留给,0,1
  基因 突变 野生型 患者 谈谈 治疗 方法,看过 论坛 里 帖子 说 靶向 药 免疫组化 觉得很有 道理 父亲 基因 检测 突变 易瑞沙 2992,0,1
试药 查 CEA 20 天 再查 CEA 开 下降 前提 指标 敏感,草船 兄说 先 做 慢慢 学习,1,2
谢谢 经验 出院 复查 验血 明天 入院 应急 肠 梗塞 腹水 应急,谷维素 维生素 B12 两天,3,2
盲试 特 再试 2992 9291 报告 发现 CMET 异常 9291 放弃 试克,标志物 建议 测 cea   cy211 参考 http www yuaigongwu com forum     amp dsign e0b1a4c4 这篇 帖子 我家 这两项 敏感,3,3
"谢谢 憨叔 指导 靶向 药 停 天 血压 回升 原 瑞格 雷利 40 天 血压 120 70 下降 90 60 高压 90 升至 100 低压 60 升至 65 头痛 头晕 心 前区 刺痛 医生 说 神经痛 减轻 动作 大时 稍 久 饭后 走路 时有 测 生化 全套 AFP AFP 下降 降速 放缓 低密度 脂蛋白 胆固醇 3.66   mmol   超标 标准 3.12 月 5.12 下降   血清 唾液酸 超标 倍 月 值 超标 蛋白 超标   月 值 倍   网上 查 查 血清 唾液酸 原 肿瘤 指标 发现 心血管病 心血管 受 影响 时 血清 唾液酸 蛋白 升降 呈 正 相关 瑞格 雷利 搭配 心脏 毒性 瑞格 说明书 肠癌 28 天 前 21 天 服药 余 天 停药 对否 肝癌 停 这么久 吃 第一 周期 时仅 停 天 血压 降低 头晕 相关 症状 胡乱 分析 不知 沾边 
 几个 
 血压 升 水平 吃 回 靶向 药 瑞格 说明书 停 天 低密度 脂蛋白 胆固醇 影响 
 担心 停久 停 影响 疗效 加速 耐药 可否 吃 升压 药 如管通 米 多君 持续 吃 靶向 药 
 吃药时 减量 服用 减 瑞格 减雷利 可否 先 吃 瑞格 天 血压 下降 雷利 
 定期 做 心脏 彩超 心电图 超声 心动图 测 左心室 功能 测 LVEF 跟踪 
 恳请 憨叔忙 中 赐教 不胜感激",做 基因 检测 论坛 野生型 用特 例子 试药 抓紧 试 没效 没什么,2,2
胆管癌 真的 自救,我妈 上海东方 肝胆 医院 做 六个 疗程 生物 治疗 效果 特 生存期 肯定 延长,0,1
V 靶药 免疫组化 试药,"论坛 好多 靶向 药换 吃 挺 试试 
 放化疗 真的 伤人 老公 想想 心痛",3,3
前 同事 推荐 吃何 仙菇 说 效果,值得 尝试,2,2
建议 先别 老人 空窗 吃 加量 易 行,全脑放 吃 靶向 药 AZD9291,1,2
吃 凡德 药 有效率 不高 吃 吃,病情 稳定 试试 2992 凡德 药,1,2
AZD9291 控制 肿瘤 减少 肺部 组织 压力 减少 胸水,年前 血压 用药 写 说 近期 行 情况 不差 高血压 高血糖 高肌 肝 控制 心血管 状态 不错 CEA 敏感 心脏 肾脏 保守 方法 阿西 替尼 一类 药 只用 2992 仿效 老马 父亲 吃法 吃 几天 停 天 天天 吃 剂量 量 行 吃 每隔 月 做 CT 检查,3,3
楼主 你好 2992 副作用 慢慢 药物 浓度 慢慢 积累 阶段 发生 腹泻 早上 拜读 老马 帖子 对付 腹泻 思密达 防治 长久 法 附院 ICU 实习 见过 老师 用川椒 打成 粉拌 醋 外敷 神阙穴 位 效果 不错 尝试,父亲 一月 胸水 厉害 易瑞沙 吃 一个半月 水才 消了,3,3
怀疑 脑转 MRI 骨转 骨 扫,cea 高 意味着 转移 因人而异 妈妈 CEA 指标 骨 转 CT 片 为准,1,2
"楼主 家 化疗 扭转 形势 换 化疗药 效果 不好 楼主 紧张 
 建议 楼主 母亲 下次 验 肿瘤 标志物 NSE ProGRP 两项 
 http 115.28 11.40 thread html",非常感谢,1,2
14   39 岁 肺 粘液腺癌 ALK 阳性 空窗 转克唑 替尼,手术 上克,0,1
做 完 手术 建议 检测 肿瘤 指标 再作 检查 重视 术后 宜用 保康 速 速愈素 乳 铁蛋白 辅助 恢复 体能 肿瘤 病人 不宜 中医中药 进补,营养 中药 补血 补气 楼上 误导 病友 家属,2,2
靶向     盲式,盲试 化疗 这条 路 走 不通 剩下 靶向 试试 就行了,1,2
我妈 肺腺易 瑞沙 月 耐药 184 76 毫克 40 天 右手 小指 麻木 求助,换 一换 对付 cmet 扩增 药 inc280 cmet 扩增 184 靶点 缓解 耐药 时间,0,1
"化疗 受 受得了 医生 检查 
 化疗 方案 剂量 体重 肿瘤 挺大 纵膈 淋巴 转移 适合 手术",肺部 感染 确实 当成 肿瘤 优先 我家 感染 导致 病情 急转直下 病危 抗感染 咳嗽 痰 消失 疼痛 减轻,1,2
33 肺 腺癌 晚期 次 化疗 无效 至服 正版 特罗 凯 15 月 特联 184 中 寻求 指点,你家 缓慢 耐药 时间 久 估计 体内 积累 耐药 因子 做 耐药 突变 检测 病理 不好 取 做个 外周血 检测 国内 医院 做 T790M 9291 4002 EGFR CMET 184 盲试 也许 9291 184 试试 抑制 T790M 抑制 CMET 覆盖 百分之六七 十 耐药 情况 建议 仅供参考,0,1
15   吃 91 效果 不错 吃,291 联合 下游 通路 用药 BKM120 BKM120 PI3K 突变 下游 通路 肺 腺癌 病人 中 PI3K 突变率 2% 扩增 率 19% EGFR   TKI 联合 BKM120 克服 HGF 表达 导致 EGFR 耐药 T790M cMet 扩增 导致 EGFR 耐药 病人 PI3K Akt 信号 通路 上调 EGFR   TKI 联合 BKM120 效果,0,1
南京 得知 省 肿瘤 伽马刀 想 脑科 医院 射波刀 军总有 射波刀 副作用 爸爸 做射 波刀 爸爸 情况 做 伽马刀 放疗 选 副作用 低 做 长 控制不了,说 太 道理     耐药 穿刺 活检 部位 肺部 原发灶 腰部 转移 瘤 办法 大夫 做 妈妈 医院 做 肺部 穿刺 好像 不太可能,1,2
"9291 联 804 方案 可取 804 靶点 用过 特罗 凯再 804 副作用 非 正面 作用 804 重点 打击 E HER2   E 用过 生猛 特罗 凯 再用 804 徒劳 
           听 医生 盲用 804 十多天 不妥 检验 亲人 耐受力 过特 804 慎用 一点 建议",我妈 脑膜 转   是从 9291 联特 打算 单药 9291   希望 长期有效  ,1,2
帖子 里 说 egfr 突变 吃易 特 效果 爸爸 后盾 这贴 http www yuaigongwu com thread html 突变 易 化疗 结束 一试,感觉 你家 药换 频繁 心急 原因 吃 时间 判定 无效 有时候 吃 几天 原因 导致 吃 几天 状态 不好 导致 药 无效,1,2
  爸爸 肺 鳞癌 爸爸 走 现 一瓶 特,吃 靶向 药 有用 吃 靶向 药 男性 选择 靶向 药 种类 首 特罗 凯,0,1
804 一个月   月 15 日 月 15 日 满心欢喜 查 CEA 7.91 11.98 人蒙掉 请教 江湖,804 控制 脑转 阿法 替尼强 肺部 控制 药物,3,0
13   父亲 肾癌 脑转 骨转 .... 服用 多吉 美,胸骨 穿刺 激活 癌细胞 放疗 身体 吃不消 好评 果 身体 情况 乱治 多吉 美吃 星期 做 血 尿常规 肝肾 功能 检查 一个月 治疗 效果 全身 几处 转移 脑转 单个 多个 位置 再作 治疗 方案,0,1
"耐药 后分 情况 快速 进展 缓慢 进展 局部 进展 
 耐药 
 局部 治疗 TKI 局部 耐药 
 化疗 TKI 缓慢 进展 
 单独 化疗 停药 晚 TKI 快速 进展 
 联合 通路 下游 通路 治疗 缓慢 进展 
 下一代 抑制剂 快速 进展 基因 检测 阳性 患者",291 先加量 100 下步 联易,1,2
复方 黄柏 液 山东 汉方 制药 纯中药 好使,预防 甲沟炎 修剪 指甲 不让 长进 肉里 红肿 用温 水泡 软 忍痛 修剪 脓 挤 净 抹 百多 帮 修剪 关键 痛 及时处理 找 修脚 师傅 拔甲 麻药,1,2
爸爸 肺 腺癌 骨转 299804 中 停 止痛药 CEA CA199 降 胰体 低密度 灶 耐药,多泡 论坛 帖子,0,1
41 妈妈 肺 腺癌 四期 骨转移 抗癌 五年 整,"楼主 家 化疗 扭转 形势 换 化疗药 效果 不好 楼主 紧张 
 建议 楼主 母亲 下次 验 肿瘤 标志物 NSE ProGRP 两项 
 http 115.28 11.40 thread html",0,1
吃 7080 184 希望 情况 表现,080 大部分 病友 吃 效果 耐药,1,2
吃 特 算是 大幸 不用 特 4002 9291 药 托个 几年 说不定 T 细胞 免疫治疗 成熟 治,尝试 靶向 病理 可去 做 基因突变 检测 突变 大胆 尝试 靶向 治疗 祝 成效,1,2
49   低 分化腺癌 骨转 来源于 肺 求 前辈 指点 谢谢,B12 培美曲塞加 铂 类 方案,0,1
