Father_node,Child_node,语义关系,发言类型(Child_node)
9 基因不突变野生型的患者，大家来谈谈自己的治疗方法,【看过论坛里一个帖子，说靶向药到底有没有效主要还是看免疫组化结果，我觉得很有道理。我父亲基因检测全部无突变，但是易瑞沙，2992都有效。,0,1
试药之前查CEA，20天之后再查CEA开下降没（前提指标敏感）,草船兄说的很对，你先照着做再慢慢学习了解吧。,1,2
谢谢！之前没有经验，出院之后都没有复查验血之类的。明天准备入院处理应急问题，例如肠梗塞和腹水等应急的问题。,用谷维素和维生素B12用两天就好了。,3,2
盲试特，再试2992，再9291（若报告发现CMET）异常，9291放弃，立即试克,标志物建议测cea cy211，可参考http://www.yuaigongwu.com/forum. ... amp;_dsign=e0b1a4c4这篇帖子，我家就是这两项敏感,3,3
"谢谢憨叔指导。靶向药已经停了3天，血压有所回升（原问题：瑞格+雷利40天血压从120/70下降到90/60），高压从90升至100，低压从60升至65，没有头痛了，头晕和心前区刺痛（有医生说神经痛？）有所减轻，动作大时或稍久或饭后走路还是时有。测了生化全套和AFP，AFP仍在下降，降速放缓，低密度脂蛋白胆固醇3.66 mmol/L， 略微超标（标准3.12），但相对于5月（为5.12）又有所下降 ，血清唾液酸超标2倍（5月的值没超标），c-反应蛋白略超标， 但相对于5月的值两者均上升了2倍， 网上查了查，血清唾液酸原为肿瘤指标，后发现也与心血管病有关，在心血管受影响时，血清唾液酸和c-反应蛋白升降呈正相关。如此看来，瑞格+雷利搭配于我有心脏毒性，瑞格说明书于肠癌是28天的前21天服药，余7天停药（对否？），我因为是肝癌，不敢停这么久，在吃第一周期时仅停2天，是否因此而造成现在的血压降低和头晕等相关症状？自己胡乱分析，不知是否沾边。
有几个问题：
1、血压升到什么水平可以吃回靶向药？需要按照瑞格说明书上的停7天吗？目前的低密度脂蛋白胆固醇影响？
2、因为担心停久或多次停会影响疗效或加速耐药，可否通过吃升压药（如管通、米多君等）来持续吃靶向药？
3、再吃药时，是否需要减量服用？减瑞格还是减雷利？可否先吃瑞格5-7天，看血压是否下降，然后再加上雷利？
4、是否需要定期做心脏彩超心电图，超声心动图测左心室功能，测LVEF跟踪
恳请憨叔忙中赐教，不胜感激。",没做基因检测。论坛也有野生型用特有效的例子。现在能试药还是抓紧试。没效也没什么，有效就不一样了。,2,2
胆管癌真的得自救了吗,我妈刚在上海东方肝胆医院做了六个疗程生物治疗，效果不是特明显，但生存期肯定能延长。,0,1
V靶药，或依免疫组化结果试药！,"我看论坛上很多人好多靶向药换着吃的也挺好，你可以试试啊
放化疗真的很伤人，我老公已经完全不是以前那个他了，想想就心痛",3,3
前同事推荐吃何仙菇，说效果很好,不值得尝试,2,2
建议现在先别让老人空窗，给吃加量易也行呀,据我所知，尽量不要全脑放，要继续吃靶向药，AZD9291,1,2
我准备吃凡德了，这种药，有效率不高，吃吃看,如果病情稳定，为什么不试试2992、凡德或者其他药呢,1,2
AZD9291控制肿瘤，才能减少对肺部组织的压力，减少胸水的形成,0年前的血压和用药也写了，没必要，只说近期的就行。现在看来情况不差，以前的高血压、高血糖、高肌肝都已经控制了，如果能一直维持这样的心血管状态，就不错。CEA不敏感，加上心脏和肾脏不那么好，就采取保守一些的方法，不要用阿西替尼一类的药，目前就只用2992，可仿效老马父亲那样的吃法，吃几天停2天；也可天天吃，但不必大剂量，就目前的量就行。一直吃，每隔2个月做一次CT检查。,3,3
楼主，你好！2992的副作用是慢慢药物浓度慢慢积累到一定阶段发生的，腹泻会逐渐明显起来，早上拜读了老马的帖子，对付腹泻用思密达作为防治不是长久之法，我在一附院ICU实习的时候，见过老师用川椒打成粉拌醋外敷神阙穴位，效果不错，你也可以尝试下！,我父亲今年一月胸水也很厉害，易瑞沙吃了一个半月水才消了,3,3
怀疑脑转就MRI，骨转就骨扫,cea高不一定意味着转移，因人而异，我妈妈CEA指标正常，但也是骨转，以CT片为准还是。,1,2
"问题是楼主家是用化疗扭转形势的。如果换了化疗药，效果不好，楼主不紧张吗？
建议楼主母亲在下次验肿瘤标志物的时候加上NSE和ProGRP两项。
http://115.28.11.40/thread-1.html",好的，非常感谢！,1,2
14 39岁，肺粘液腺癌ALK阳性，空窗转克唑替尼,手术后为何不直接用上克？,0,1
"刚做完手术,建议密切检测肿瘤指标,再作检查仍是上升的话,就要重视了,术后宜用保康速,速愈素,乳铁蛋白等辅助恢复体能,肿瘤病人不宜用中医中药进补.",营养全面一些，中药补血补气，楼上的别误导病友和家属,2,2
直接靶向  盲式,我认为盲试就可以了，因为您化疗这条路走不通了，就剩下靶向了。直接试试就行了。,1,2
我妈肺腺易瑞沙8个月耐药，184，76毫克用40天，现在右手小指麻木，求助！,换一换其他对付cmet扩增的药，如inc280，这样一方面可以确定是cmet扩增引起的184有效，还是v靶点引起的，另一方面还可以缓解耐药时间,0,1
"如果化疗的话，受不受得了，医生要根据检查的结果来确定的。
确定化疗用什么方案后，剂量用多少根据体重的。你目前这个肿瘤挺大的，你自己考虑清楚吧。纵膈淋巴有转移也是不适合手术的。",肺部感染确实要当成比肿瘤更严重的问题来优先处理，我家就是感染导致病情急转直下，都下病危单了，抗感染有效后咳嗽和痰基本消失，疼痛明显减轻。,1,2
33肺腺癌晚期，2次化疗无效，至服正版特罗凯15月，目前特联184中，寻求指点与帮助~,"你家缓慢耐药时间有点久了，估计体内应该积累了不少的耐药因子，如果可能还是能做个耐药突变检测，如果病理不好取可以做个外周血的检测--不过国内很少医院能做，，如果是T790M就是9291，,4002+EGFR，如果是CMET就是184之类的。。你要盲试也许9291+184可以试试，前者抑制T790M,后者抑制CMET,可以覆盖百分之六七十的耐药情况了，以上建议仅供参考。",0,1
15 吃91效果不错，那以后吃什么,"291联合下游通路用药BKM120,BKM120不光是有PI3K突变，也是下游主要通路，肺腺癌病人中PI3K的突变率是2%，扩增率是6-19%；EGFR TKI联合BKM120可以克服HGF过表达导致的EGFR耐药问题，对于T790M或者cMet扩增导致的EGFR耐药病人，PI3K/Akt信号通路上调，EGFR TKI联合BKM120有一定效果。",0,1
是的，我是南京的，我就是了解后得知没有省肿瘤没有伽马刀，所以我才想去脑科医院，还有我也了解了射波刀知道军总有，射波刀不是副作用更小吗？我还在考虑要不要给我爸爸做射波刀，那你觉得我爸爸这情况做伽马刀好还是放疗好，我主要就是为了选副作用低的，因为不管做什么，后面要再长都是控制不了的,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
"9291联804的方案，不是非常可取。804虽然多靶点，但是用过特罗凯再用804有的更多是副作用，而非正面作用。804重点打击的还是E和HER2， 而E如果用过生猛的特罗凯，那么再用804基本是徒劳的。
     当时没有听医生的话，盲用了804十多天，看来是不妥的。检验的只是亲人的耐受力。所以用过特之后804慎用。一点建议。",我妈脑膜转 也是从9291联特现在打算单药9291 希望长期有效 坚持再坚持！！,1,2
我最近看的很多帖子里都说到，即使egfr没有突变，吃易或特也是有效果的，比如“我是爸爸的后盾”这贴（http://www.yuaigongwu.com/thread-1.html），也是无突变但是易有效的，所以等化疗结束还是可以一试的。,感觉你家药换的比较频繁，可能是心急的原因吧，觉得还是吃到一定时间再判定有效无效，有时候刚吃几天，可能有别的原因导致吃的这几天状态不好，会导致你认为药无效。,1,2
5 爸爸肺鳞癌-爸爸已走-现还有一瓶特,如果吃靶向药有用就吃靶向药（男性可选择靶向药的种类不多，首考虑特罗凯）,0,1
804一个月了， 6月15日开始到7月15日。满心欢喜的去查CEA。结果从7.91上升到11.98；人蒙掉了。请教一下江湖。我接下来应该怎么办?,804控制脑转比阿法替尼强。肺部控制的好就是原来的药物还是有效的。,3,0
13 父亲肾癌，脑转，骨转....正在服用多吉美,胸骨穿刺更加激活了癌细胞，这么多次的放疗下来身体也吃不消。现在要好好评果一下身体的全面情况，不要乱治了，多吉美吃一个星期得做个血尿常规，肝肾功能检查，一个月后得知道治疗效果如何？全身究竟几处转移，脑转是单个还是多个？位置在那里？再作治疗方案。,0,1
"耐药后分3种情况，1）快速的全面进展，2）缓慢进展，3）局部进展
耐药之后：
1）局部治疗之后再次TKI，（局部耐药）
2）化疗+TKI，（缓慢进展）
3）单独化疗（尽快停药，尽量晚的再次使用TKI），（快速的全面进展）
4）联合其他通路或下游通路治疗，（缓慢进展）
5）下一代抑制剂，（快速的全面进展或者通过基因检测有阳性的患者）",291可以先加量至100，再下步可以联易。,1,2
复方黄柏液，山东汉方制药，纯中药，非常好使,预防甲沟炎就是彻底修剪指甲，不让长进肉里。红肿了用温水泡软，忍痛修剪，有脓一定要挤净，然后抹百多帮。修剪是关键，怕痛不及时处理，就得找修脚师傅，最后不得不拔甲，据说不能打麻药的。,1,2
爸爸肺腺癌骨转—299804中，停止痛药，CEA上升，CA199降，胰体有低密度灶，耐药了？,多泡论坛，多看帖子,0,1
41妈妈肺腺癌四期骨转移，抗癌五年整,"问题是楼主家是用化疗扭转形势的。如果换了化疗药，效果不好，楼主不紧张吗？
建议楼主母亲在下次验肿瘤标志物的时候加上NSE和ProGRP两项。
http://115.28.11.40/thread-1.html",0,1
现在吃的7080+184，希望情况有好的表现,080大部分病友吃都是有效果的，不过就是容易耐药。,1,2
能吃特也算是大幸了。不用怕，特后面还有4002，9291等药，都很有效的。托个几年说不定T细胞免疫治疗就能成熟了，能彻底治好。,也可尝试一下靶向，或者有病理的话，可去做一下基因突变检测，若突变，可以大胆尝试靶向治疗！祝你能有好的成效~,1,2
49 低分化腺癌骨转，考虑来源于肺，该怎么办，求前辈们指点，谢谢！,"打B12,应该就是用的培美曲塞加铂类方案吧，+7",0,1
33 妈妈肺腺癌晚期，今天开帖，与妈妈携手并进,身体好的话一般医院会建议化疗，19突变也可以考虑靶向，既然已经脑转，淋巴转了应该尽快治疗，情况准许的话做下骨扫也可以，可以做到心中有数，如果想先瞒着的话化疗应该是瞒不住的可考虑靶向。,0,1
把吃药时间调整到上午或者下午3--5点先改善睡眠，准备试试。,海南医疗外水平有限没有微波，现在我老公也不想到处跑了，体质大不如以前了瘦得只剩下83斤了，身高1.67谢谢前辈帮忙出主义！,2,2
28 爸爸80岁，体检肺癌，准备放弃治疗了,而中医中药（如：三联平衡疗法）因其无毒副作用、疗效稳定，对高龄或体质虚弱的癌症患者更为适合,0,1
86 老公31岁肺腺癌四期,有脑转试试特罗凯好些,0,1
0是不是量太大了，拉多了容易消瘦,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
直接靶向  盲式,zwcxkboy建议的盲试特罗凯的建议是可以的。如果特盲试有效后面路就好走了。,1,2
肺部炎症最后找呼吸科大夫治疗，别找肿瘤科大夫。,我很认同你的观点，也是和家人这么说的，还反复提醒，可因为自己不在身边，父母最终还是去找肿瘤医生，唉～～～,1,2
标志物建议测cea cy211，可参考http://www.yuaigongwu.com/forum. ... amp;_dsign=e0b1a4c4这篇帖子，我家就是这两项敏感,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
我妈妈也是甲沟炎，二个脚的大拇指，也很厉害，用消炎药也不管用。,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
如果是我妈，我会带她去医院疼痛科处理骨转疼痛,从CEA上升和症状看，凯美纳估计无效，换易瑞沙类似于减量，即使考虑药性差异但恐怕效果也好不到哪去,1,2
你老公还这么年轻，虽然右支有癌栓，但还可以试试肝移植？,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
耐药后可以化疗，有少部分患者化疗后靶向药重新有效，但毕竟是小概率事情，要做好心里准备,"是肺腺鳞癌混合型？如果经济条件不好，不建议正版吧，毕竟七八万比较难承受，而且有后续治疗。
您加一些QQ群，具体不推荐了，自己鉴别一下吧，有些群的朋友都乐于助人的",3,3
我现在也是肝转肺，而且也是多发转移，医生说局部治疗不建议，但是建议系统化疗,医生说不建议肺部放疗，因为整个肺部放疗，怕病人承受不了,2,2
不贵。我在北京的肿瘤医院检测的，总共500元,"有的人是没办法做检查的
我妈也没做检查，年纪太大了，84岁。现在盲试的结果还不错，原来喝水都呛，现在都没事了，手也不抖了。",1,2
感觉近小半年治疗太频繁，肝脏没有得到好好的修复，应该是过度治疗引起的肝损。目前要赶紧住院保肝，其他的要先不管了。肝功能太糟就没办法进行其他治疗了。,停止一切针对肝癌的治疗，包括多吉美。,1,2
必须增加降压药，用3天时间把血压稍降一些后才开始吃特罗凯。,谢谢您的帮助！我父亲4月8日做了消融，现在好多了，不那样痛了。谢谢您了！,3,3
如果要化疗，先用手术的标本做一下化疗的药敏检测。,"关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
淋巴有转移，建议马上做一个PETCT，确认身体其它部位是否也有转移（很有可能）。,手术已做，不用急着做PETCT，密切注意肿瘤指标变化，找对下一步治疗方向。这很关键。,2,2
注射绿脓杆菌试剂或卡介苗或白介素12，如果弄不到的话试试蜂毒疗法。前面三个不好弄。另外，蜂毒疗法的效果不敢保证，以前没注意过这个。可以肯定你家就是用这个肿瘤坏死因子导致的病情突然失控。,配合每天静滴香菇多糖和每天腋窝皮下注射卡介菌多糖核酸注射液，有望通过增强免疫来增效，副作用是发烧，甚至有可能高烧。发烧可应用布洛芬或同类药退烧。,3,3
化疗的话 可以联合V靶点的靶向，作用会好一些。,我爸爸不能化疗，身体太弱，我目前在中药消水呢，看看效果吧。,2,2
化疗4周期（培美联合铂）后再特罗凯,你家脑转应该开始上特罗凯的，，因为有个血脑屏障，，现在易瑞沙耐药直接上特罗凯是没有效果的，比较合适的是化疗，抗肿瘤治疗及去除体内的耐药因子,1,2
"你家缓慢耐药时间有点久了，估计体内应该积累了不少的耐药因子，如果可能还是能做个耐药突变检测，如果病理不好取可以做个外周血的检测--不过国内很少医院能做，，如果是T790M就是9291，,4002+EGFR，如果是CMET就是184之类的。。你要盲试也许9291+184可以试试，前者抑制T790M,后者抑制CMET,可以覆盖百分之六七十的耐药情况了，以上建议仅供参考。",希望继续ct稳定。cea已经翻了好几倍了，佩服楼主的淡定。建议及早做出换药决定，可以瞒着大夫，赠药继续领，群里很多这么干的。,1,2
全程中药就是全程骗钱的意思，停掉所有的中药和中成药，不然伤肝伤肾。+3,我猜测楼主家选择在中医医院进行化疗？如果是的话，建议以后除非调理身体，否则不要在中医医院治疗肿瘤，会误事的。+6,1,2
"cea不敏感，就以影像检查为主。
虽然是野生型，但是没考虑过靶向吗？",看来肿瘤在进展期，不突变，不敢贸然上靶向,2,0
我现在也是肝转肺，而且也是多发转移，医生说局部治疗不建议，但是建议系统化疗,肺部转移瘤问过蛮多医生了，有部分建议全身化疗，也有一部分认为化疗受益不大，建议控制原发灶,2,2
一点看法供参考：特用太久了，可能耐药了，先9291上100MG，强度大致相当于特，而同时可消除T790突变引起的耐药。如要保险上9291+INC280。 这样同时克服790及CMET的耐药。,"我家吃特罗凯耐药后，上的2992,3个月无效，改用9291效果明显，精神好，食欲好。可以试一下。",1,2
建议先试  特罗凯（入脑）  20天查CEA,注意盲试特罗凯前后的检查，一个是CT影像的检查，另外就是CEA等敏感肿瘤指标的检查，来判断特罗凯是否有效果。,3,3
01 我愿用我所有幸运换你生命延长-----父亲肺鳞癌骨转移,标本兼治 疼痛如果放疗效果不理想 先加强止痛  奥施康定 +-西乐葆 +-卡马西平  内放疗骨髓抑制重 你父亲未必承受   化疗可用吉西他宾+铂类 或培美曲塞  靶向药物尝试  带齐资料咨询当地三甲医院肿瘤科吧,0,1
由于4002的心脏毒性较大，在吃辅酶Q10的时候，最好再吃左卡尼汀口服液，我妈当时采用4002联易的时候就感觉心脏有些不舒服，服用左卡尼汀后改善了不少。,84不光有CMET的靶点，还对V靶点和ROS1有作用。9291联合184有作用，如果副作用耐受应该继续吃。但是你家吃184心肌受损了，应该在靶向药的同时，就服用保护心脏的药，现在受损可能单纯辅酶Q10就不一定可以控制住心肌受损。,1,2
建议穿刺活检做基因检测，针对性用靶向药控制,建议吃靶向药，病人不遭罪，化疗什么的就别做了，折腾人。,1,2
楼主，和你确认一下，你吃易是自己买还是参加的试验组，按说19点突变，应该易很有效才是，怎么看到你们好像没有效果呢？参加试验组，有一组人是服用的安慰剂，这病人和医院都不知道。如果这样赶紧退出，改吃特罗凯，特应该有效，否则你的EGFR检测可能有问题。,同时用了塞来昔布200MG每天，（参考了深蓝的帖子），同时我们也用它来加强局部止痛。,3,3
我也认为不能再化疗了，让身体好好恢复一下。,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
CEA涨2个点对于耐药判断毫无疑义，CEA大幅度变化才有参考价值，不要因为个位数几个点的变化担心，很多人在这种情况下还吃了很久很久的。继续安心吃易吧,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
我猜测楼主家选择在中医医院进行化疗？如果是的话，建议以后除非调理身体，否则不要在中医医院治疗肿瘤，会误事的。+6,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
常试靶向药，BRAF B600E可买非正版的威扩菲尼，dabrafinib，或MEK162。看看能否买到，和放疗一起用。,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
点靶向药吧，多鼓励他，我父亲也是倔脾气，慢慢来，首先家属要有信心，加油，,楼主好年轻！听草船兄的，先不要管那么多了，试吃特罗凯先。特你买印度的就可以，一点不贵，大家都吃印度的，放心吧。其它的药你后面再学，特和易基本都是盲试首选。你有脑转，所以草船建议你先试特。别犹豫了。,1,2
1天评估疗效后，如果化疗无效，就赶紧上靶向药。,肺部感染确实要当成比肿瘤更严重的问题来优先处理，我家就是感染导致病情急转直下，都下病危单了，抗感染有效后咳嗽和痰基本消失，疼痛明显减轻。,1,2
当时的病灶增加非常快，也很大。2992和4002肯定是不入脑，在生命攸关之际，肯定是9291.,分人吧，我妈2992就入脑。一开始服的是阿法替尼，两天时间，人从没有记忆胡言乱语到稍微清醒可以认人，然后做的全脑放。,2,2
甲沟炎用双氧水冲洗，碘伏泡20分钟。,"甲沟炎我前几天看 Belinda的帖子，憨叔的妙方, 用先锋磨粉,调成糨糊状涂抹, 倒是奇迹般的把老爸的甲沟炎给治好了你可以试试，祝你妈妈康复~~",1,2
很多人基因检测阴性后靶向成功的，不是绝对的，所以要试，不要灰心，试到有用就是赚的，我已经在准备了，化疗太痛苦，而且化疗几次后还是要走靶向，可以一直化疗的除非身体非常好,如何知道化疗无效的呢？一般是两个周期后，CT才看效果的。,3,3
我妈肺腺易瑞沙8个月耐药，184，76毫克用40天，现在右手小指麻木，求助！,我婆婆特耐药后，上2992无效，后上9291有效。,0,1
禁绝一切中药、中成药、补药、偏方、保健品。,可以试下美施康定，不过它有吗啡的作用，我妈妈当初痛的厉害时就让她睡前吃一颗。,3,2
2992不影响血压，如果你担心肿瘤的发展，可以把量加到70毫克，老马因为考虑病人的身体情况和低CEA，才建议使用60毫克。至于别的药，我不建议在近期使用，现在不是与肿瘤拼命的时候，而是尽可能治疗和解决严重的心血管问题的时候，这问题若能解决或减轻严重程度，对今后的抗肿瘤的本钱是重要的提升，否则，一旦肿瘤发展起来，就立即陷入无法用药的僵局。,我父亲今年一月胸水也很厉害，易瑞沙吃了一个半月水才消了,3,3
建议重点关注CA15-3指标，CA15-3反映的是乳腺位置，对应肺部，一般CA15-3对肺部反应比CEA更直接更敏感。你妈妈的CEA对肺部反应明显滞后于CA15-3。,谢谢阿梁帮我家详细分析，非常感谢！我会考虑VEGFR类的靶向药，关注CA15-3指标,1,2
直接上克药吧，还犹豫啥,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
质子治疗也是辐射最小的放疗方式。重离子优于质子。都是很好的局部治疗方式。国内在建的2个重离子治疗中心费用都很高，日本的也比较高，德国的费用不确定。估计这3个地方的费用差距不大。但日本、德国开展得早，经验要比国内丰富得多。德国海德堡的重离子治疗中心应该是最先进的，比较明显的优势在于有个旋转头。,唑来膦酸立竿见影，副作用小，骨转后期可以考虑89锶和XL184 卡博替尼,1,2
86 31岁的老公查出肝癌晚期，挺着大肚子的我已六神无主,肝功还可以，复查升高有可能是介入引起，坚持吃水飞即可。,0,1
13 父亲肾癌，脑转，骨转....正在服用多吉美,吃印度版多吉美已经一周多，暂时副作用还没见显现。不知道是不是多吉美起作用，这周不吃止痛药也不会疼，就是动到一些地方会疼。184已经找到正在寄送的途中。不过才吃多吉美一周，纠结下要不要先吃半量184联合用药。有同志尝试过这种方法嘛？！,0,1
我感觉是不是需要做个影像学检查来确认一下效果，有时候AFP的干扰因素很多,医生说不建议肺部放疗，因为整个肺部放疗，怕病人承受不了,2,2
是的，184的副作用本身就容易导致血栓,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
97 肺癌脑转移，印度易瑞沙10个月,我家也是全脑放结束后上易，不同的是你家是放疗后有空窗，也是10个月耐药，如果脑转症状明显，建议考虑299804，2992入脑率不高,0,1
我家就是egfr野生，alik阴性盲试特无效但盲试克有效快7个月了,我觉得暂时换特是可以的，毕竟比易药效强2-3倍。,1,2
先尝试一下9291,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
腺癌吃靶向药效果好,有突变吃靶向药，会有很好的结果，化疗用培美副作用小，病人可以耐受,3,3
01 pd1失败，急寻靶向药救命，盼憨叔、好梦成真指导。,为什么用了那么多次恩度还在用？有钱也是选阿瓦斯汀啦。,0,1
我们家情况和你们有雷同，易瑞沙2个月，第3个月骨痛，感觉易瑞沙威力不够，我们准备易瑞沙+280,你说的太有道理了  耐药后穿刺活检的部位不是肺部原发灶，而是腰部转移瘤，但也没办法，这都是按大夫的要求做的，现在再让我妈妈重新再到医院做一次肺部穿刺好像不太可能了,1,2
"易瑞沙4个月耐药后脑转,怎么办?爸爸2017年7月仙逝，低价转台湾2992阿法替尼一瓶",去年2月发现脑转，没有放疗直接上特罗凯效果还行，现在还比较稳定！,0,1
吃靶向药控制，多吉美不行就索坦或瑞格非尼。,吃靶向药主要看ＣＴ效果。不要单看ＡＦＰＤＦ变化。会误导的。应该以影响为准。,3,3
现在需要做的是确定肺癌类型；是否出现远端转移；分期；能否接受化疗；EGFR检测靶向。我个人觉得你家现在这情况忙吃会不会太危险了？就怕耽误时间懂？,你家症状考虑脑转移了，应该属于癫痫的失神发作，尽快检查脑部,1,2
63 求助 爸爸肺癌转移 现压迫气管 呼吸困难,可以先试阿西替尼，特罗凯还是要试的，很多基因不突变的也是有效的,0,1
头疼一定要重视，最好做脑部核磁共振，排除脑转可能，不能拖，要是脑转，尽早向对策，没有万一,腹泻的话用腹可安试试,3,3
86 老公31岁肺腺癌四期,"吃易之前有没有做过肿瘤标志物检查，一般是以CEA为参照物，现在吃易这么长时间，本人（胸闷、咳嗽之类的）感觉有没有好转？
定期检查肿瘤标志物，前两次多检查几项，看看哪个变化大，以后就检查哪几项为参考。",0,1
10 老公离世转余下药物，一些可以赠送,"前辈们帮忙出出主义！
      目前1、2014年6月肺部转移多发，一年多来，只是略微增大，最大1.1cm，胸膜有6至7个肿瘤，胸膜肿瘤己侵犯到肋骨，骨扫描显示左侧第7前肋，左侧第8一10后肋局限性放射性浓聚灶，无明显叩痛点，片状拉扯痛和压麻痛。
     2、2014年12月转移到肝部，发现时1.0cm和多个结节，一年多来发展较快，2015年10月最大的1.8cmx2.0cm，其它差不多有5个，大小有1.0cm多，密度降低。原发灶在左隔与脾之间
     3、目前的治疗方案。
骨转部分：己打骨转针，肋骨的放疗有医生建议用直线加速器做，也有医生不建议做；
肺部：我们想，肺部发展不快暂时不处理；
肝部：海口有射波刀，5cm内均可处理，我们想肝部肿瘤发展较快，挑1一2个(目前最大2cm)来做降低一下癌负荷。也不知道肝部做射波刀有什么后果？",0,1
"抽胸水后,胸腔需灌注顺铂,后面再打白介素.",目前得到的方法有：冬瓜皮，冬瓜籽+蚕豆 煮水,1,2
25 求助帖： 老公肺腺癌晚期，疼痛厉害，易瑞沙耐药，求论坛的高人们指点！万分感谢！！,"给病友意见考虑几个因素 ：  
     1。病友的身体状态， 疾病进展程度 ，轻重缓急：
     2。 检查结果 有说明药物受益的情况和可能的风险
     3。 如果有些检测没做 ，建议考虑大数据和经验， 并给出大概的概率",0,1
91 肝癌多发肺转骨转，多吉美阿西无效，甲胎一个月涨6万多，已大于12万1，准备放疗骨头,现在肿瘤的生长速度比局部治疗的处理速度要快很多，这时越是刺激肿瘤进展有可能越快，局部治疗最好停下来，直到吃上有效的靶向药控制住全身的进展再考虑。多吉美无效，最好的选择是索坦，,0,1
68 妈妈情况危急，请大家帮忙出出主意，谢谢！,另外，ap26113入脑效果也好，楼主是否考虑过？299804服用时间有多长，缓解不明显是有缓解的迹象吗？群里有人用这种药将脑转移灶全都吃掉了，如果有效，不要放弃这种药。,0,1
"我得这个病友在第一次做乳腺癌的手术检查就是ER(++),PR(++),C-erbB-2(-), 当时医生跟她说以后不用内分泌治疗，但是放、化疗后还是用他莫西芬，用了一年多复查转移肝，病灶没有再做穿刺检查，化疗没用后，就直接做去势治疗了。","关键是你那位病友之前有没接受过内分泌治疗，转移病灶ER表达是怎样的。
如果之前没有接受过内分泌治疗，而且ER强阳性，那么去势的效果就很好。",3,3
目前得到的方法有：鲫鱼+赤豆 熬汤,我父亲今年一月胸水也很厉害，易瑞沙吃了一个半月水才消了,3,3
楼主要认真考虑老马提供的意见呵!他可是论坛的超级大佬!,用谷维素和维生素B12用两天就好了。,3,2
我家2992最有效，你家可以尝试,楼主，你爸爸其实可以试试2992的，之前因为有医生推荐我给爸爸用，了解了下2992的临床报告。,1,2
多泡论坛，多看帖子,"好好 读帖,靶点不止1个,首先要对病情做个了解",1,2
19 易3个月耐药---9291显效---91耐药开始化疗,肺癌是小细胞还是非小细胞肺癌？腺癌还是鳞癌？建议做病理分析。类型不明白怎么吃靶向？建议做EGFR检测，存在突变者，开始靶向药治疗首选易瑞沙或特罗凯，第二，EGFR检测野生型者，首选特罗凯。第三，无EGFR检测盲试者，女性且从不抽烟的首选易瑞沙，男性曾抽烟的首选特罗凯。,0,1
